timestamp_ms,processing_time_ms
1751306454564,19.4974
1751306454598,34.2080
1751306454611,13.0678
1751306454633,13.3204
1751306454655,13.0318
1751306454681,23.4523
1751306454704,22.6781
1751306454720,16.4554
1751306454754,34.0609
1751306454786,31.9169
1751306454809,22.9467
1751306454836,26.8005
1751306454860,23.8049
1751306454867,7.3324
1751306454892,10.3102
1751306454918,20.0391
1751306454939,21.3580
1751306454949,9.9412
1751306454974,15.1962
1751306454997,23.3340
1751306455019,22.0047
1751306455047,28.0611
1751306455057,9.7398
1751306455080,11.5949
1751306455102,11.6087
1751306455127,20.6875
1751306455150,22.2975
1751306455177,27.0811
1751306455200,22.9756
1751306455227,26.9570
1751306455260,33.6742
1751306455270,9.1620
1751306455294,11.6787
1751306455321,22.3014
1751306455339,17.8175
1751306455369,29.9362
1751306455388,19.0826
1751306455404,15.8343
1751306455422,18.6053
1751306455439,16.6441
1751306455475,35.7155
1751306455497,22.1011
1751306455529,32.1086
1751306455553,24.1068
1751306455578,24.3074
1751306455602,23.9059
1751306455614,12.2929
1751306455646,28.0960
1751306455679,33.5307
1751306455712,33.0638
1751306455736,23.4952
1751306455766,30.4288
1751306455790,23.3412
1751306455818,28.0719
1751306455845,27.2249
1751306455875,29.7555
1751306455900,24.5904
1751306455929,29.0089
1751306455952,22.9459
1751306455982,30.6219
1751306456006,23.7388
1751306456036,30.1662
1751306456060,23.2637
1751306456088,28.7224
1751306456115,26.9731
1751306456144,28.6922
1751306456167,23.3827
1751306456197,29.1675
1751306456224,27.0952
1751306456252,28.0775
1751306456278,25.3573
1751306456308,30.2235
1751306456330,21.6555
1751306456358,28.3720
1751306456383,25.3017
1751306456414,30.1587
1751306456426,12.0734
1751306456452,16.5900
1751306456486,33.3366
1751306456502,16.6486
1751306456531,28.2595
1751306456553,22.1787
1751306456585,32.4343
1751306456609,23.3983
1751306456654,45.2316
1751306456684,30.2631
1751306456714,29.7532
1751306456758,43.3741
1751306456782,23.9565
1751306456826,45.1354
1751306456844,18.2421
1751306456873,28.4806
1751306456896,23.0546
1751306456930,33.6663
1751306456954,24.0908
1751306456986,31.9831
1751306457010,24.2439
1751306457042,31.2608
1751306457070,28.5878
1751306457098,27.2738
1751306457129,30.3813
1751306457162,33.9042
1751306457184,22.0488
1751306457235,50.8021
1751306457288,52.4247
1751306457339,51.2187
1751306457375,35.6985
1751306457423,48.0300
1751306457444,21.6053
1751306457485,40.9312
1751306457500,14.3381
1751306457535,33.5693
1751306457559,24.2176
1751306457603,43.5637
1751306457634,31.2246
1751306457669,34.4493
1751306457712,43.3859
1751306457765,52.0847
1751306457798,34.3726
1751306457830,31.1000
1751306457874,44.3203
1751306457905,29.9846
1751306457934,29.7545
1751306457967,32.7801
1751306458031,63.9080
1751306458082,51.6391
1751306458109,26.1219
1751306458138,30.0286
1751306458179,40.9348
1751306458195,14.9984
1751306458247,50.7350
1751306458274,26.5040
1751306458309,34.9610
1751306458351,41.9768
1751306458397,45.9775
1751306458426,28.9674
1751306458480,53.7927
1751306458516,36.2800
1751306458558,42.5619
1751306458594,36.0387
1751306458632,37.6592
1751306458670,38.2730
1751306458696,25.3233
1751306458746,50.4707
1751306458783,36.4150
1751306458807,24.2937
1751306458837,30.4045
1751306458882,44.2030
1751306458919,37.6447
1751306458952,32.4428
1751306459004,51.7514
1751306459030,26.4575
1751306459061,30.2930
1751306459093,32.6025
1751306459145,51.7034
1751306459182,37.3579
1751306459210,27.5764
1751306459265,55.4459
1751306459294,29.0147
1751306459337,43.1221
1751306459359,20.7714
1751306459383,24.5014
1751306459426,42.6631
1751306459448,22.3244
1751306459501,52.5583
1751306459538,37.4284
1751306459583,45.7197
1751306459602,17.4924
1751306459654,52.0775
1751306459674,20.5817
1751306459743,68.3531
1751306459792,48.6513
1751306459829,37.8989
1751306459887,57.1392
1751306459923,36.1496
1751306459978,54.7691
1751306460007,29.6446
1751306460077,69.5337
1751306460112,35.6759
1751306460164,51.8965
1751306460204,40.6419
1751306460285,80.1776
1751306460318,33.8058
1751306460384,65.0174
1751306460444,59.8827
1751306460476,31.9464
1751306460538,62.1170
1751306460565,27.2798
1751306460642,76.4912
1751306460668,26.0435
1751306460711,43.4809
1751306460751,39.4818
1751306460777,25.6979
1751306460841,64.5834
1751306460881,39.5541
1751306460937,55.9453
1751306460974,37.3981
1751306461026,51.1485
1751306461071,45.1369
1751306461140,68.8708
1751306461176,35.9906
1751306461220,44.2693
1751306461278,57.6580
1751306461311,32.9614
1751306461387,75.8405
1751306461411,24.1456
1751306461468,57.3728
1751306461500,31.9750
1751306461568,67.2001
1751306461616,48.6722
1751306461654,37.6888
1751306461700,45.7697
1751306461723,23.4020
1751306461783,59.4710
1751306461831,48.3299
1751306461876,44.2967
1751306461902,26.3239
1751306461950,47.5853
1751306461983,33.6530
1751306462039,55.3902
1751306462065,25.8748
1751306462097,32.6597
1751306462129,31.8797
1751306462196,66.2057
1751306462235,38.6326
1751306462280,46.0520
1751306462326,45.6782
1751306462360,33.5691
1751306462413,52.6633
1751306462431,18.4143
1751306462492,60.5271
1751306462512,19.8828
1751306462577,64.7986
1751306462603,26.0170
